date,name,code,daily_return,ytd_return,inception_return,unit_nav,accum_nav
2026-06-03,博道成长智航,013641,,,,,
2026-06-03,博道星航,026791,,,,,
2026-06-03,博道惠泓,025103,,,,,
2026-06-03,博道盛享,025874,,,,,
2026-06-03,博道久航,008318,,,,,
2026-06-03,博道惠泰优选,016840,,,,,
2026-06-03,博道远航,007126,,,,,
2026-06-03,博道和裕多元稳健30天持有,021323,,,,,
2026-06-03,博道中证全指指数增强,025020,,,,,
2026-06-03,博道上证科创板综合指数增强,023901,,,,,
2026-06-03,博道中证A500指数增强,022745,,,,,
2026-06-03,博道沪深300指数量化增强,022866,,,,,
2026-06-03,博道中证800指数增强,023499,,,,,
2026-06-03,博道大盘价值股票,021915,,,,,
2026-06-03,博道大盘成长股票,022003,,,,,
2026-06-03,博道中证500增强,006593,,,,,
2026-06-03,博道中证500增强Y,025038,,,,,
2026-06-03,博道沪深300增强,007044,,,,,
2026-06-03,博道沪深300增强Y,025932,,,,,
2026-06-03,博道叁佰智航,007470,,,,,
2026-06-03,博道伍佰智航,007831,,,,,
2026-06-03,博道消费智航,010998,,,,,
2026-06-03,博道中证1000指数增强,017644,,,,,
2026-06-03,博道红利智航股票,019124,,,,,
2026-06-03,博道衍晟混合,026351,,,,,
2026-06-03,博道中证同业存单AAA指数7天持有期,019037,,,,,
2026-06-03,博道安远6个月持有期,008547,,,,,
2026-06-03,博道盛兴一年持有期混合,013693,,,,,
2026-06-03,博道嘉泰回报混合,008208,,,,,
2026-06-03,博道启航混合,006160,,,,,
2026-06-03,博道卓远混合,006511,,,,,
2026-06-03,博道睿见一年持有期混合,010755,,,,,
2026-06-03,博道志远混合,007825,,,,,
2026-06-03,博道嘉瑞混合,008467,,,,,
2026-06-03,博道盛利6个月持有期混合,010404,,,,,
2026-06-03,博道嘉元混合,008793,,,,,
2026-06-03,博道嘉兴一年持有期混合,010147,,,,,
2026-06-03,博道嘉丰混合,010967,,,,,
2026-06-03,博道盛彦混合,012124,,,,,
2026-06-03,博道研究恒选混合,015104,,,,,
2026-06-03,博道和瑞多元稳健6个月持有期混合,016637,,,,,
2026-06-03,博道明远混合,019497,,,,,
2026-06-03,博道衍和债券,027004,,,,,
2026-06-03,博道和盈利率债,023356,,,,,
2026-06-03,博道和祥多元稳健债券,017134,,,,,
